Date,Open,High,Low,Close
2021-11-01 00:00:00-04:00,25.603,31.344,25.182,29.699
2021-11-08 00:00:00-05:00,30.095,32.252,28.727,30.336
2021-11-15 00:00:00-05:00,30.498,33.029,28.749,32.926
2021-11-22 00:00:00-05:00,33.457,34.585,30.825,31.447
2021-11-29 00:00:00-05:00,32.308,33.352,30.076,30.638
2021-12-06 00:00:00-05:00,29.830,32.395,27.991,30.148
2021-12-13 00:00:00-05:00,30.199,31.108,27.205,27.755
2021-12-20 00:00:00-05:00,27.260,30.009,27.100,29.591
2021-12-27 00:00:00-05:00,29.611,31.278,29.282,29.362
2022-01-03 00:00:00-05:00,29.765,30.660,27.012,27.202
2022-01-10 00:00:00-05:00,26.537,28.548,25.601,26.897
2022-01-17 00:00:00-05:00,26.216,26.594,23.224,23.335
2022-01-24 00:00:00-05:00,22.293,24.017,20.853,22.802
2022-01-31 00:00:00-05:00,23.144,25.774,23.014,24.279
2022-02-07 00:00:00-05:00,24.332,26.880,23.734,23.909
2022-02-14 00:00:00-05:00,23.894,26.538,23.062,23.603
2022-02-21 00:00:00-05:00,22.997,24.177,20.855,24.117
2022-02-28 00:00:00-05:00,23.952,24.624,22.445,22.898
2022-03-07 00:00:00-05:00,22.783,23.185,20.619,22.067
2022-03-14 00:00:00-04:00,21.836,26.529,21.127,26.414
2022-03-21 00:00:00-04:00,26.467,28.316,25.537,27.651
2022-03-28 00:00:00-04:00,27.715,28.903,26.228,26.672
2022-04-04 00:00:00-04:00,26.688,27.517,23.028,23.085
2022-04-11 00:00:00-04:00,22.181,22.743,21.131,21.226
2022-04-18 00:00:00-04:00,21.168,22.636,19.471,19.486
2022-04-25 00:00:00-04:00,19.173,20.098,18.263,18.519
2022-05-02 00:00:00-04:00,18.513,20.370,17.963,18.647
2022-05-09 00:00:00-04:00,18.007,18.228,15.544,17.680
2022-05-16 00:00:00-04:00,17.483,18.344,15.732,16.669
2022-05-23 00:00:00-04:00,16.250,18.853,15.756,18.783
2022-05-30 00:00:00-04:00,18.952,19.590,18.095,18.692
2022-06-06 00:00:00-04:00,19.110,19.308,16.844,16.949
2022-06-13 00:00:00-04:00,15.980,16.846,15.308,15.860
2022-06-20 00:00:00-04:00,16.454,17.118,15.833,17.104
2022-06-27 00:00:00-04:00,17.290,17.308,14.374,14.504
2022-07-04 00:00:00-04:00,14.157,16.016,14.037,15.818
2022-07-11 00:00:00-04:00,15.506,15.762,14.446,15.742
2022-07-18 00:00:00-04:00,16.281,18.121,15.982,17.297
2022-07-25 00:00:00-04:00,16.997,18.221,16.457,18.140
2022-08-01 00:00:00-04:00,18.159,19.249,17.967,18.965
2022-08-08 00:00:00-04:00,17.480,18.694,16.703,18.685
2022-08-15 00:00:00-04:00,18.677,19.139,17.747,17.826
2022-08-22 00:00:00-04:00,17.468,17.924,16.216,16.239
2022-08-29 00:00:00-04:00,16.000,16.317,13.253,13.630
2022-09-05 00:00:00-04:00,13.713,14.455,13.329,14.369
2022-09-12 00:00:00-04:00,14.355,14.533,12.605,13.185
2022-09-19 00:00:00-04:00,12.999,14.017,12.245,12.504
2022-09-26 00:00:00-04:00,12.479,12.810,11.934,12.127
2022-10-03 00:00:00-04:00,12.335,13.643,12.010,12.064
2022-10-10 00:00:00-04:00,12.025,12.112,10.802,11.216
2022-10-17 00:00:00-04:00,11.507,12.756,11.506,12.454
2022-10-24 00:00:00-04:00,12.496,13.836,12.052,13.820
2022-10-31 00:00:00-04:00,13.764,14.215,12.943,14.142
2022-11-07 00:00:00-05:00,14.214,16.373,13.745,16.311
2022-11-14 00:00:00-05:00,16.202,16.981,15.105,15.394
2022-11-21 00:00:00-05:00,15.132,16.511,15.065,16.254
2022-11-28 00:00:00-05:00,16.010,17.248,15.505,16.859
2022-12-05 00:00:00-05:00,16.667,17.570,15.656,16.989
2022-12-12 00:00:00-05:00,17.025,18.776,16.398,16.559
2022-12-19 00:00:00-05:00,16.560,16.615,14.871,15.195
