Date,Open,High,Low,Close
2020-02-24 00:00:00-05:00,210.171,213.634,192.191,199.591
2020-03-02 00:00:00-05:00,202.578,212.984,196.788,201.744
2020-03-09 00:00:00-04:00,187.642,198.136,171.601,186.537
2020-03-16 00:00:00-04:00,168.896,179.108,161.767,165.550
2020-03-23 00:00:00-04:00,165.763,186.905,159.954,179.709
2020-03-30 00:00:00-04:00,181.803,189.762,175.777,178.216
2020-04-06 00:00:00-04:00,185.127,197.509,183.873,195.215
2020-04-13 00:00:00-04:00,194.379,210.425,193.164,209.239
2020-04-20 00:00:00-04:00,207.363,209.813,197.907,207.830
2020-04-27 00:00:00-04:00,210.114,213.856,205.274,206.761
2020-05-04 00:00:00-04:00,205.517,218.676,205.186,218.540
2020-05-11 00:00:00-04:00,217.209,221.689,209.920,216.995
2020-05-18 00:00:00-04:00,219.920,225.616,219.133,223.205
2020-05-25 00:00:00-04:00,226.801,227.035,217.646,226.801
2020-06-01 00:00:00-04:00,225.927,233.546,225.480,232.953
2020-06-08 00:00:00-04:00,232.808,240.855,225.227,229.251
2020-06-15 00:00:00-04:00,225.907,240.058,224.965,237.376
2020-06-22 00:00:00-04:00,236.831,244.091,232.944,233.469
2020-06-29 00:00:00-04:00,233.631,247.553,231.080,245.528
2020-07-06 00:00:00-04:00,248.702,257.250,248.683,256.997
2020-07-13 00:00:00-04:00,259.860,262.664,246.083,252.567
2020-07-20 00:00:00-04:00,253.210,261.320,244.681,248.809
2020-07-27 00:00:00-04:00,250.464,258.925,249.676,258.769
2020-08-03 00:00:00-04:00,260.921,267.716,260.794,264.299
2020-08-10 00:00:00-04:00,264.591,267.570,257.640,264.971
2020-08-17 00:00:00-04:00,266.694,274.882,265.010,274.424
2020-08-24 00:00:00-04:00,277.715,286.088,273.840,284.803
2020-08-31 00:00:00-04:00,285.329,295.483,264.620,276.089
2020-09-07 00:00:00-04:00,265.029,274.746,259.850,263.306
2020-09-14 00:00:00-04:00,267.113,273.042,255.693,259.821
2020-09-21 00:00:00-04:00,255.537,265.867,253.239,264.387
2020-09-28 00:00:00-04:00,269.274,275.408,264.494,267.064
2020-10-05 00:00:00-04:00,269.041,278.241,267.006,278.163
2020-10-12 00:00:00-04:00,282.875,289.603,278.971,280.889
2020-10-19 00:00:00-04:00,282.817,283.781,273.402,277.219
2020-10-26 00:00:00-04:00,274.921,277.764,260.015,262.264
2020-11-02 00:00:00-05:00,264.669,287.587,259.918,286.828
2020-11-09 00:00:00-05:00,289.788,291.238,273.207,283.245
2020-11-16 00:00:00-05:00,282.943,285.981,281.220,282.710
2020-11-23 00:00:00-05:00,283.712,292.241,280.461,291.112
2020-11-30 00:00:00-05:00,291.433,297.800,286.993,297.450
2020-12-07 00:00:00-05:00,297.635,300.448,290.216,293.877
2020-12-14 00:00:00-05:00,295.074,303.739,295.006,301.870
2020-12-21 00:00:00-05:00,298.365,302.503,295.580,301.383
2020-12-28 00:00:00-05:00,304.553,306.933,302.710,306.006
2021-01-04 00:00:00-05:00,307.342,311.517,297.657,311.166
2021-01-11 00:00:00-05:00,308.191,309.703,302.924,304.172
2021-01-18 00:00:00-05:00,306.504,319.066,305.401,317.398
2021-01-25 00:00:00-05:00,320.802,322.178,305.050,306.806
2021-02-01 00:00:00-05:00,310.269,324.206,308.230,323.192
2021-02-08 00:00:00-05:00,324.889,328.322,321.378,328.156
2021-02-15 00:00:00-05:00,328.956,329.854,320.266,322.860
2021-02-22 00:00:00-05:00,318.452,319.720,303.217,306.396
2021-03-01 00:00:00-05:00,311.400,316.335,290.118,301.071
2021-03-08 00:00:00-05:00,300.525,311.975,292.127,307.684
2021-03-15 00:00:00-04:00,308.006,316.208,302.027,305.421
2021-03-22 00:00:00-04:00,307.440,313.175,299.813,308.211
2021-03-29 00:00:00-04:00,308.063,317.106,304.244,316.969
2021-04-05 00:00:00-04:00,319.469,329.421,319.225,329.215
2021-04-12 00:00:00-04:00,328.170,334.216,326.891,334.001
2021-04-19 00:00:00-04:00,332.419,333.581,326.149,331.471
2021-04-26 00:00:00-04:00,331.715,334.772,329.010,330.075
2021-05-03 00:00:00-04:00,331.286,332.038,318.571,326.374
2021-05-10 00:00:00-04:00,324.987,325.163,308.600,318.747
2021-05-17 00:00:00-04:00,317.028,323.112,308.893,319.352
2021-05-24 00:00:00-04:00,321.657,327.711,319.244,326.110
2021-05-31 00:00:00-04:00,327.448,328.190,320.592,327.741
2021-06-07 00:00:00-04:00,327.204,333.258,326.510,333.249
2021-06-14 00:00:00-04:00,333.678,338.268,329.548,334.606
2021-06-21 00:00:00-04:00,334.411,343.229,332.184,341.276
2021-06-28 00:00:00-04:00,342.963,350.970,342.904,350.648
2021-07-05 00:00:00-04:00,351.254,354.676,346.522,352.965
2021-07-12 00:00:00-04:00,354.373,357.345,349.279,349.631
2021-07-19 00:00:00-04:00,346.160,360.278,344.195,359.994
2021-07-26 00:00:00-04:00,359.300,360.669,352.134,356.445
2021-08-02 00:00:00-04:00,358.117,361.666,353.933,359.848
2021-08-09 00:00:00-04:00,360.307,361.324,356.181,360.601
2021-08-16 00:00:00-04:00,359.476,360.796,351.938,359.535
2021-08-23 00:00:00-04:00,360.581,368.168,360.571,367.660
2021-08-30 00:00:00-04:00,368.452,374.181,368.432,373.066
2021-09-06 00:00:00-04:00,373.174,374.250,367.865,368.198
2021-09-13 00:00:00-04:00,370.544,370.974,364.453,365.499
2021-09-20 00:00:00-04:00,359.271,365.704,352.886,365.010
2021-09-27 00:00:00-04:00,362.351,363.379,346.867,352.544
2021-10-04 00:00:00-04:00,350.919,357.937,342.893,353.503
2021-10-11 00:00:00-04:00,351.956,361.235,348.922,361.118
2021-10-18 00:00:00-04:00,359.816,369.467,359.209,366.169
2021-10-25 00:00:00-04:00,367.598,378.090,365.640,377.924
2021-11-01 00:00:00-04:00,378.364,392.488,376.270,390.149
2021-11-08 00:00:00-05:00,390.120,391.147,379.314,386.332
2021-11-15 00:00:00-05:00,387.516,396.707,383.787,395.425
2021-11-22 00:00:00-05:00,396.971,400.045,381.506,382.906
2021-11-29 00:00:00-05:00,387.497,392.684,370.867,375.007
2021-12-06 00:00:00-05:00,375.496,391.715,371.258,389.572
2021-12-13 00:00:00-05:00,389.562,390.032,373.676,376.749
2021-12-20 00:00:00-05:00,371.523,389.983,369.467,388.505
2021-12-27 00:00:00-05:00,390.304,396.508,389.413,389.912
2022-01-03 00:00:00-05:00,391.088,394.254,370.498,372.281
2022-01-10 00:00:00-05:00,367.342,382.415,361.942,372.428
2022-01-17 00:00:00-05:00,366.577,368.714,344.389,344.673
2022-01-24 00:00:00-05:00,339.009,349.760,327.483,344.781
2022-01-31 00:00:00-05:00,346.153,362.716,344.507,350.867
2022-02-07 00:00:00-05:00,351.465,359.492,338.901,340.136
2022-02-14 00:00:00-05:00,339.577,349.966,332.374,334.696
2022-02-21 00:00:00-05:00,331.737,339.077,311.910,338.871
2022-02-28 00:00:00-05:00,335.676,343.056,328.238,330.570
2022-03-07 00:00:00-05:00,330.561,331.727,313.557,317.928
2022-03-14 00:00:00-04:00,316.683,344.771,311.116,344.477
2022-03-21 00:00:00-04:00,343.213,353.474,338.685,352.180
2022-03-28 00:00:00-04:00,352.606,364.862,351.360,355.069
2022-04-04 00:00:00-04:00,355.913,362.389,341.969,342.607
2022-04-11 00:00:00-04:00,338.348,341.174,331.705,332.088
2022-04-18 00:00:00-04:00,331.028,341.351,318.870,319.302
2022-04-25 00:00:00-04:00,317.663,323.718,306.742,307.380
2022-05-02 00:00:00-04:00,306.968,324.100,299.392,303.455
2022-05-09 00:00:00-04:00,297.793,303.553,279.600,296.282
2022-05-16 00:00:00-04:00,294.525,300.815,274.959,283.270
2022-05-23 00:00:00-04:00,284.320,303.455,276.961,303.308
2022-05-30 00:00:00-04:00,303.278,308.665,297.714,300.462
2022-06-06 00:00:00-04:00,304.927,306.497,282.976,283.427
2022-06-13 00:00:00-04:00,274.508,281.455,264.234,269.542
2022-06-20 00:00:00-04:00,273.526,289.511,272.702,289.089
2022-06-27 00:00:00-04:00,291.011,291.582,271.132,277.375
2022-07-04 00:00:00-04:00,273.619,291.749,272.086,290.372
2022-07-11 00:00:00-04:00,287.944,288.170,275.084,286.951
2022-07-18 00:00:00-04:00,289.753,303.350,283.343,296.900
2022-07-25 00:00:00-04:00,296.930,311.058,288.593,310.143
2022-08-01 00:00:00-04:00,308.364,319.247,306.584,316.327
2022-08-08 00:00:00-04:00,317.252,325.018,310.104,324.822
2022-08-15 00:00:00-04:00,323.868,328.784,316.652,317.419
2022-08-22 00:00:00-04:00,313.132,316.091,302.170,302.259
2022-08-29 00:00:00-04:00,299.486,302.042,288.013,290.195
2022-09-05 00:00:00-04:00,290.677,302.416,285.968,301.914
2022-09-12 00:00:00-04:00,303.301,305.837,280.806,284.444
2022-09-19 00:00:00-04:00,281.278,288.996,267.435,270.867
2022-09-26 00:00:00-04:00,270.881,277.007,263.070,263.228
2022-10-03 00:00:00-04:00,265.011,279.893,263.494,265.040
2022-10-10 00:00:00-04:00,265.237,267.709,250.424,256.806
2022-10-17 00:00:00-04:00,262.814,273.028,262.716,271.265
2022-10-24 00:00:00-04:00,271.531,280.306,267.867,276.977
2022-10-31 00:00:00-04:00,274.712,277.814,255.171,260.687
2022-11-07 00:00:00-05:00,261.741,284.285,259.062,283.616
2022-11-14 00:00:00-05:00,281.547,288.836,276.485,280.523
2022-11-21 00:00:00-05:00,279.124,285.093,276.229,282.591
2022-11-28 00:00:00-05:00,280.602,291.288,274.958,288.136
2022-12-05 00:00:00-05:00,285.999,287.279,274.574,277.785
2022-12-12 00:00:00-05:00,277.962,292.401,268.497,270.112
2022-12-19 00:00:00-05:00,269.738,270.634,258.500,263.326
2022-12-26 00:00:00-05:00,263.345,263.996,256.424,262.891
2023-01-02 00:00:00-05:00,265.230,266.711,257.026,265.379
2023-01-09 00:00:00-05:00,267.383,277.640,265.546,277.394
2023-01-16 00:00:00-05:00,277.196,281.066,270.404,279.082
2023-01-23 00:00:00-05:00,279.931,294.463,277.601,292.489
2023-01-30 00:00:00-05:00,289.201,309.687,286.200,302.283
2023-02-06 00:00:00-05:00,299.647,307.071,293.466,295.885
2023-02-13 00:00:00-05:00,297.297,305.333,294.306,297.327
2023-02-20 00:00:00-05:00,293.476,294.928,286.358,288.135
2023-02-27 00:00:00-05:00,291.314,296.102,284.699,295.865
2023-03-06 00:00:00-05:00,297.109,300.130,283.722,284.877
2023-03-13 00:00:00-04:00,283.080,305.215,281.560,301.473
2023-03-20 00:00:00-04:00,300.387,311.237,298.166,306.933
2023-03-27 00:00:00-04:00,308.110,317.573,301.356,317.335
2023-04-03 00:00:00-04:00,315.200,318.028,309.316,314.488
2023-04-10 00:00:00-04:00,311.541,316.772,309.069,315.002
2023-04-17 00:00:00-04:00,314.587,317.820,310.582,313.064
2023-04-24 00:00:00-04:00,312.836,319.036,306.419,318.947
2023-05-01 00:00:00-04:00,318.482,320.134,311.591,319.274
2023-05-08 00:00:00-04:00,318.809,323.506,317.721,321.389
2023-05-15 00:00:00-04:00,321.864,334.422,320.332,332.741
